id;product_code;name;value;barcode;expiry_date
1;1013;T.A.FINAL BILL:T.A.FINAL BILL FORM SIZE 33 X 21 CM;1;12345;17-Jul-2018
2;1014;T.A.ADVANCE CUM FINAL BILL  REGISTER:SIZE 33 X;2;12346;17-Jul-2018
3;2001;ASSETS & LIABILITIES FORM :SIZE 33 X 21 CM;3;12347;17-Jul-2018
4;2012;HOUSE BUILDING ADVANCE FORM CONTAINS 10 S;4;12348;17-Jul-2018
5;3001;SECTION DESPATCH REGISTER:SIZE 33X22CM. PR;5;12349;17-Jul-2018
6;3002;SECTION DIARY FOR OTHER RECEIPT:SIZE 33X21 C;6;12350;17-Jul-2018
7;3013;ORDINARY COVER-SIZE 22 X 10 CM. IN DOUBLE EX;7;12351;17-Jul-2018
8;3015;ORDINARY COVER - SIZE 36 X 13 CM. IN DOUBLE E;8;12352;17-Jul-2018
9;3018;CLOTH COVER - SIZE 30 X 23 CM.  AS PER SPECIME;9;12353;17-Jul-2018
10;4005;ROYALTY REGISTER:SIZE 33 X 21 CMS 200 PAGES I;10;12354;17-Jul-2018
11;4012;CONTRACT REVIEW CHECK LIST SIZE:17 X 21 CM  I;11;12355;17-Jul-2018
12;4023;DAILY WORK LOG BOOK :SIZE 30 X 21 CM. 100 SHEE;12;12356;17-Jul-2018
13;4031;TAX INVOICE PAPER SIZE: A4, 80GSM 210 MM X 297;13;12357;17-Jul-2018
14;5057;BILLS REGISTER:;14;12358;17-Jul-2018
15;6035;ROSE COLOUR FOLDER:;15;12359;17-Jul-2018
16;7029;QF/QC/13(00)CHEMICAL ANALYSIS REPORT OF TIO2;16;12360;17-Jul-2018
17;7050;QF/QC/53(03);17;12361;17-Jul-2018
18;9001;MINING MATE DIARY: CONTAINS 100 SHEETS IN A B;18;12362;17-Jul-2018
19;9028;SHIFT PERFORMANCE REPORT:;19;12363;17-Jul-2018
20;9029;PRINTING OF GATE PASS (A 4 SIZE) FOR G.O.3D(6): 5;20;12364;17-Jul-2018
21;9036;GATE PASS A 4 SIZE: 50 SETS  IN TRIPLICATE. ORI;21;12365;17-Jul-2018
22;9039;TRANSPORT CHECK LIST:;22;12366;17-Jul-2018
23;9044;FORM 'A' IN TWO PAGES: 100 SHEETS (A4 SIZE) IT S;23;12367;17-Jul-2018
24;9046;AUTHORISATION FORMAT:50 SHEETS(A4 SIZE) IT S;24;12368;17-Jul-2018
25;10003;RUNNING ACCOUNT BILL: SIZE 44 X 33 CMS.  IT SH;25;12369;17-Jul-2018
26;10015;DAILY WORK  ALLOCATION REGISTER :SIZE 34 X 22;26;12370;17-Jul-2018
27;11002;STOCK REGISTER FOR MEDICINE:;27;12371;17-Jul-2018
28;11008;MEDICAL REFERENCE BOOK:SIZE 24X 15 CM, 100 P;28;12372;17-Jul-2018
29;11016;PRESCRIPTION PAD FOR SR. MEDICAL OFFICER;29;12373;17-Jul-2018
30;11022;TABLET COVER  12X19 CMS;30;12374;17-Jul-2018
31;11024;TABLET COVER 12 CM X 8 CM;31;12375;17-Jul-2018
32;11028;HEIGHT CHECK FORM: CONTAINS ONE SHEET.SIZE;32;12376;17-Jul-2018
33;11029;APPRENTICE  MEDICAL EXAMINATION FORM:;33;12377;17-Jul-2018
34;11031;MEDICAL CHECK UP REPORT(AS PER SPECIMEN);34;12378;17-Jul-2018
35;12001;LEAVE REGISTER :SIZE 33 X 22 CM. 200 FOLIO;35;12379;17-Jul-2018
36;12007;SURRENDER LEAVE APPLICATION FORM: SIZE 22 X;36;12380;17-Jul-2018
37;12012;LEAVE BOOK SIZE 11 X 9 CM.18 PAGES IN A BOOK.I;37;12381;17-Jul-2018
38;21002;DAILY PRODUCTION REPORT (MSP);38;12382;17-Jul-2018
39;21007;WORK / BREAK DOWN INTIMATION SLIP OF SIZE 21 X;39;12383;17-Jul-2018
40;21015;HUP/BWP DAILY MONITORING OPERATION LOG;40;12384;17-Jul-2018
41;22021;DAILY WORK  ALLOCATION REGISTER :SIZE 33 X 21;41;12385;17-Jul-2018
42;22027;LOG BOOK FOR MINES AND OIL FIELDS:  SIZE 33 X 2;42;12386;17-Jul-2018
43;22028;HUP ELECTRICAL LOG BOOK:;43;12387;17-Jul-2018
44;25001;LEAVE APPLICATION FORM: SIZE 21 X 15 CM, 100 S;44;12388;17-Jul-2018
45;25002;COMPENSATORY OFF FORM: SIZE 21 X 15 CM, 100 S;45;12389;31-Aug-2017
46;25003;OVER TIME REQUISITION FORM: SIZE 15  X 21 CM, 1;46;12390;17-May-2017
47;25004;OVER TIME REQUISITION FORM FOR STAFF: SIZE 1;47;12391;31-Aug-2017
48;25005;ON DUTY ADVICE FORM : SIZE 17 X  21CM. 100 SHE;48;12392;31-Aug-2017
49;25007;PERSONAL EXIT PASS: SIZE 11 X 14 CM, 100 SHEET;49;12393;17-May-2017
50;25008;STATIONERY ISSUE VOUCHER: SIZE 14 X  21 CM, 1;50;12394;17-May-2017
51;25009;PURCHASE INDENT FORM: SIZE 22  X  28 CM, 100 S;51;12395;17-May-2017
52;25010;STORES ISSUE VOUCHER: SIZE 19 X 25 CM, 100 SE;52;12396;31-Aug-2017
53;25011;STORES  RECEIPT VOUCHER:  SIZE 28 X 22 CM, 100;53;12397;17-May-2017
54;25013;RETURNABLE GATE PASS:;54;12398;31-Aug-2017
55;25014;ATTENDANCE REGISTER,;55;12399;17-May-2017
56;25016;DUPLICATE BOOK: SIZE 28 X 22 CMS, 100 SETS IN A;56;12400;31-Aug-2017
57;25018;LETTER HEAD:SIZE 29 X 21CM.IT SHOULD BE;57;12401;31-Aug-2017
58;25020;SCRIBBLING PAD BIG SIZE:SIZE 28 X 22 CM, 100 SH;58;12402;31-Aug-2017
59;25021;SCRIBBLING PAD MEDIUM SIZE: SIZE 21 X 15 CM,10;59;12403;31-Aug-2017
60;25022;SCRIBBLING PAD SMALL SIZE: SIZE 15 X 10 CM, 100 S;60;12404;17-May-2017
61;25029;YELLOW FOLDER: SIZE 35 X 22 CMS, I.R.E. ADDRES;61;12405;17-May-2017
62;25151;INTIMATION FOR SHIFT CHANGE FORM: SIZE 18  X 2;62;12406;31-Aug-2017
63;26001;DAILY JOB ALLOCATION (MECHANICAL)REGISTER: S;63;12407;17-Jul-2018
64;26011;TOOLS ISSUE REGISTER SIZE 33 X 21 CM. 200 SHE;64;12408;17-Jul-2018
65;26012;MECHANICAL MAINTENANCE WORKS REGISTER S;65;12409;17-Jul-2018
66;31022;SAFETY INTIMATION CARD TO BE PRINTED IN QUAD;66;12410;17-Jul-2018
67;50012;COPIER PAPER OF A4 SIZE, 80 GSM( 500 SHEETS IN;67;12411;9-Jul-2018
68;50152;LEGAL PAPER OF 215 X 345 MM SIZE.80 GSM( 500;68;12412;9-Jul-2018
69;51015;OFFICE FILE- LIGHT BLUE;69;12413;17-Jul-2018
70;51016;OFFICE FILE- YELLOW;70;12414;17-Jul-2018
71;101001;RAPID MAGNETIC SEPARATORS COMPLETE.;71;12415;2-Jan-1996
