id;product_id;product_name;product_count;product_price;product_barcode;product_location_barcode;product_expiry_date
1;1013;T.A.FINAL BILL:T.A.FINAL BILL FORM SIZE 33 X 21 CM;10;1;12345;11111;17-Jul-2018
2;1014;T.A.ADVANCE CUM FINAL BILL  REGISTER:SIZE 33 X;2;2;12346;11112;17-Jul-2018
3;2001;ASSETS & LIABILITIES FORM :SIZE 33 X 21 CM;100;3;12347;11113;17-Jul-2018
4;2012;HOUSE BUILDING ADVANCE FORM CONTAINS 10 S;50;4;12348;11114;17-Jul-2018
5;3001;SECTION DESPATCH REGISTER:SIZE 33X22CM. PR;14;5;12349;11115;17-Jul-2018
6;3002;SECTION DIARY FOR OTHER RECEIPT:SIZE 33X21 C;20;6;12350;11116;17-Jul-2018
7;3013;ORDINARY COVER-SIZE 22 X 10 CM. IN DOUBLE EX;7500;7;12351;11117;17-Jul-2018
8;3015;ORDINARY COVER - SIZE 36 X 13 CM. IN DOUBLE E;6000;8;12352;11118;17-Jul-2018
9;3018;CLOTH COVER - SIZE 30 X 23 CM.  AS PER SPECIME;1000;9;12353;11119;17-Jul-2018
10;4005;ROYALTY REGISTER:SIZE 33 X 21 CMS 200 PAGES I;10;10;12354;11120;17-Jul-2018
11;4012;CONTRACT REVIEW CHECK LIST SIZE:17 X 21 CM  I;10;11;12355;11121;17-Jul-2018
12;4023;DAILY WORK LOG BOOK :SIZE 30 X 21 CM. 100 SHEE;10;12;12356;11122;17-Jul-2018
13;4031;TAX INVOICE PAPER SIZE: A4, 80GSM 210 MM X 297;60;13;12357;11123;17-Jul-2018
14;5057;BILLS REGISTER:;5;14;12358;11124;17-Jul-2018
15;6035;ROSE COLOUR FOLDER:;250;15;12359;11125;17-Jul-2018
16;7029;QF/QC/13(00)CHEMICAL ANALYSIS REPORT OF TIO2;10;16;12360;11126;17-Jul-2018
17;7050;QF/QC/53(03);4;17;12361;11127;17-Jul-2018
18;9001;MINING MATE DIARY: CONTAINS 100 SHEETS IN A B;60;18;12362;11128;17-Jul-2018
19;9028;SHIFT PERFORMANCE REPORT:;35;19;12363;11129;17-Jul-2018
20;9029;PRINTING OF GATE PASS (A 4 SIZE) FOR G.O.3D(6): 5;60;20;12364;11130;17-Jul-2018
21;9036;GATE PASS A 4 SIZE: 50 SETS  IN TRIPLICATE. ORI;75;21;12365;11131;17-Jul-2018
22;9039;TRANSPORT CHECK LIST:;5;22;12366;11132;17-Jul-2018
23;9044;FORM 'A' IN TWO PAGES: 100 SHEETS (A4 SIZE) IT S;2;23;12367;11133;17-Jul-2018
24;9046;AUTHORISATION FORMAT:50 SHEETS(A4 SIZE) IT S;5;24;12368;11134;17-Jul-2018
25;10003;RUNNING ACCOUNT BILL: SIZE 44 X 33 CMS.  IT SH;100;25;12369;11135;17-Jul-2018
26;10015;DAILY WORK  ALLOCATION REGISTER :SIZE 34 X 22;2;26;12370;11136;17-Jul-2018
27;11002;STOCK REGISTER FOR MEDICINE:;4;27;12371;11137;17-Jul-2018
28;11008;MEDICAL REFERENCE BOOK:SIZE 24X 15 CM, 100 P;20;28;12372;11138;17-Jul-2018
29;11016;PRESCRIPTION PAD FOR SR. MEDICAL OFFICER;20;29;12373;11139;17-Jul-2018
30;11022;TABLET COVER  12X19 CMS;6000;30;12374;11140;17-Jul-2018
31;11024;TABLET COVER 12 CM X 8 CM;1000;31;12375;11141;17-Jul-2018
32;11028;HEIGHT CHECK FORM: CONTAINS ONE SHEET.SIZE;100;32;12376;11142;17-Jul-2018
33;11029;APPRENTICE  MEDICAL EXAMINATION FORM:;100;33;12377;11143;17-Jul-2018
34;11031;MEDICAL CHECK UP REPORT(AS PER SPECIMEN);100;34;12378;11144;17-Jul-2018
35;12001;LEAVE REGISTER :SIZE 33 X 22 CM. 200 FOLIO;6;35;12379;11145;17-Jul-2018
36;12007;SURRENDER LEAVE APPLICATION FORM: SIZE 22 X;10;36;12380;11146;17-Jul-2018
37;12012;LEAVE BOOK SIZE 11 X 9 CM.18 PAGES IN A BOOK.I;200;37;12381;11147;17-Jul-2018
38;21002;DAILY PRODUCTION REPORT (MSP);4;38;12382;11148;17-Jul-2018
39;21007;WORK / BREAK DOWN INTIMATION SLIP OF SIZE 21 X;15;39;12383;11149;17-Jul-2018
40;21015;HUP/BWP DAILY MONITORING OPERATION LOG;4;40;12384;11150;17-Jul-2018
41;22021;DAILY WORK  ALLOCATION REGISTER :SIZE 33 X 21;5;41;12385;11151;17-Jul-2018
42;22027;LOG BOOK FOR MINES AND OIL FIELDS:  SIZE 33 X 2;10;42;12386;11152;17-Jul-2018
43;22028;HUP ELECTRICAL LOG BOOK:;4;43;12387;11153;17-Jul-2018
44;25001;LEAVE APPLICATION FORM: SIZE 21 X 15 CM, 100 S;75;44;12388;11154;17-Jul-2018
45;25002;COMPENSATORY OFF FORM: SIZE 21 X 15 CM, 100 S;20;45;12389;11155;31-Aug-2017
