id,product_code,name,value,barcode,unity_of_measurement,last_received_date,last_issued_date,quantity
1,1013,T.A.FINAL BILL:T.A.FINAL BILL FORM SIZE 33 X 21 CM,1,1013,PAD,2018-07-17,2005-05-05,10
2,1014,T.A.ADVANCE CUM FINAL BILL  REGISTER:SIZE 33 X,2,1014,NOS,2018-07-17,2005-05-05,2
3,2001,ASSETS & LIABILITIES FORM :SIZE 33 X 21 CM,3,2001,SET,2018-07-17,2003-02-22,100
4,2012,HOUSE BUILDING ADVANCE FORM CONTAINS 10 S,4,2012,SET,2018-07-17,2003-02-22,50
5,3001,SECTION DESPATCH REGISTER:SIZE 33X22CM. PR,5,3001,NOS,2018-07-17,2003-02-22,14
6,3002,SECTION DIARY FOR OTHER RECEIPT:SIZE 33X21 C,6,3002,NOS,2018-07-17,2003-02-22,20
7,3013,ORDINARY COVER-SIZE 22 X 10 CM. IN DOUBLE EX,7,3013,NOS,2018-07-17,2003-02-22,7500
8,3015,ORDINARY COVER - SIZE 36 X 13 CM. IN DOUBLE E,8,3015,NOS,2018-07-17,2003-02-22,6000
9,3018,CLOTH COVER - SIZE 30 X 23 CM.  AS PER SPECIME,9,3018,NOS,2018-07-17,2003-02-22,1000
10,4005,ROYALTY REGISTER:SIZE 33 X 21 CMS 200 PAGES I,10,4005,NOS,2018-07-17,2003-02-22,10
11,4012,CONTRACT REVIEW CHECK LIST SIZE:17 X 21 CM  I,11,4012,PAD,2018-07-17,2005-06-08,10
12,4023,DAILY WORK LOG BOOK :SIZE 30 X 21 CM. 100 SHEE,12,4023,BOO,2018-07-17,2010-02-18,10
13,4031,"TAX INVOICE PAPER SIZE: A4, 80GSM 210 MM X 297",13,4031,BUN,2018-07-17,2012-05-31,60
14,5057,BILLS REGISTER:,14,5057,NOS,2018-07-17,,5
15,6035,ROSE COLOUR FOLDER:,15,6035,NOS,2018-07-17,2005-05-02,250
16,7029,QF/QC/13(00)CHEMICAL ANALYSIS REPORT OF TIO2,16,7029,NOS,2018-07-17,2003-02-22,10
17,7050,QF/QC/53(03),17,7050,NOS,2018-07-17,2003-02-22,4
18,9001,MINING MATE DIARY: CONTAINS 100 SHEETS IN A B,18,9001,NOS,2018-07-17,2003-02-22,60
19,9028,SHIFT PERFORMANCE REPORT:,19,9028,PAD,2018-07-17,2003-02-22,35
20,9029,PRINTING OF GATE PASS (A 4 SIZE) FOR G.O.3D(6): 5,20,9029,PAD,2018-07-17,2003-02-22,60
21,9036,GATE PASS A 4 SIZE: 50 SETS  IN TRIPLICATE. ORI,21,9036,PAD,2018-07-17,2005-06-30,75
22,9039,TRANSPORT CHECK LIST:,22,9039,PAD,2018-07-17,2005-09-22,5
23,9044,FORM 'A' IN TWO PAGES: 100 SHEETS (A4 SIZE) IT S,23,9044,NOS,2018-07-17,,2
24,9046,AUTHORISATION FORMAT:50 SHEETS(A4 SIZE) IT S,24,9046,PAD,2018-07-17,,5
25,10003,RUNNING ACCOUNT BILL: SIZE 44 X 33 CMS.  IT SH,25,10003,NOS,2018-07-17,2003-02-22,100
26,10015,DAILY WORK  ALLOCATION REGISTER :SIZE 34 X 22,26,10015,NOS,2018-07-17,2014-09-04,2
27,11002,STOCK REGISTER FOR MEDICINE:,27,11002,NOS,2018-07-17,2003-02-22,4
28,11008,"MEDICAL REFERENCE BOOK:SIZE 24X 15 CM, 100 P",28,11008,NOS,2018-07-17,2003-02-22,20
29,11016,PRESCRIPTION PAD FOR SR. MEDICAL OFFICER,29,11016,PAD,2018-07-17,2003-02-22,20
30,11022,TABLET COVER  12X19 CMS,30,11022,NOS,2018-07-17,2005-02-26,6000
31,11024,TABLET COVER 12 CM X 8 CM,31,11024,NOS,2018-07-17,2007-09-08,1000
32,11028,HEIGHT CHECK FORM: CONTAINS ONE SHEET.SIZE,32,11028,NOS,2018-07-17,,100
33,11029,APPRENTICE  MEDICAL EXAMINATION FORM:,33,11029,NOS,2018-07-17,,100
34,11031,MEDICAL CHECK UP REPORT(AS PER SPECIMEN),34,11031,NOS,2018-07-17,,100
35,12001,LEAVE REGISTER :SIZE 33 X 22 CM. 200 FOLIO,35,12001,NOS,2018-07-17,2018-01-13,6
36,12007,SURRENDER LEAVE APPLICATION FORM: SIZE 22 X,36,12007,PAD,2018-07-17,2003-02-22,10
37,12012,LEAVE BOOK SIZE 11 X 9 CM.18 PAGES IN A BOOK.I,37,12012,NOS,2018-07-17,2010-11-18,200
38,21002,DAILY PRODUCTION REPORT (MSP),38,21002,BOO,2018-07-17,2004-09-25,4
39,21007,WORK / BREAK DOWN INTIMATION SLIP OF SIZE 21 X,39,21007,PAD,2018-07-17,2004-09-25,15
40,21015,HUP/BWP DAILY MONITORING OPERATION LOG,40,21015,NOS,2018-07-17,2007-07-19,4
41,22021,DAILY WORK  ALLOCATION REGISTER :SIZE 33 X 21,41,22021,NOS,2018-07-17,2003-02-22,5
42,22027,LOG BOOK FOR MINES AND OIL FIELDS:  SIZE 33 X 2,42,22027,NOS,2018-07-17,2005-05-20,10
43,22028,HUP ELECTRICAL LOG BOOK:,43,22028,NOS,2018-07-17,2005-05-20,4
44,25001,"LEAVE APPLICATION FORM: SIZE 21 X 15 CM, 100 S",44,25001,PAD,2018-07-17,2018-07-03,75
45,25002,"COMPENSATORY OFF FORM: SIZE 21 X 15 CM, 100 S",45,25002,PAD,2017-08-31,2018-07-03,20
46,25003,"OVER TIME REQUISITION FORM: SIZE 15  X 21 CM, 1",46,25003,PAD,2017-05-17,2018-07-03,55
