"SlNo","ItemCode","Item Name","UOM","Stock","LRD","LID","Value","BalValue","W/of Date","C/R/I/ST","Location",""
"1","1013","T.A.FINAL BILL:T.A.FINAL BILL FORM SIZE 33 X 21 CM","PAD","10","17-Jul-2018","5-May-2005","","","","","",""
"2","1014","T.A.ADVANCE CUM FINAL BILL  REGISTER:SIZE 33 X","NOS","2","17-Jul-2018","5-May-2005","","","","","",""
"3","2001","ASSETS & LIABILITIES FORM :SIZE 33 X 21 CM","SET","100","17-Jul-2018","22-Feb-2003","","","","","",""
"4","2012","HOUSE BUILDING ADVANCE FORM CONTAINS 10 S","SET","50","17-Jul-2018","22-Feb-2003","","","","","",""
"5","3001","SECTION DESPATCH REGISTER:SIZE 33X22CM. PR","NOS","14","17-Jul-2018","22-Feb-2003","","","","","",""
"6","3002","SECTION DIARY FOR OTHER RECEIPT:SIZE 33X21 C","NOS","20","17-Jul-2018","22-Feb-2003","","","","","",""
"7","3013","ORDINARY COVER-SIZE 22 X 10 CM. IN DOUBLE EX","NOS","7500","17-Jul-2018","22-Feb-2003","","","","","",""
"8","3015","ORDINARY COVER - SIZE 36 X 13 CM. IN DOUBLE E","NOS","6000","17-Jul-2018","22-Feb-2003","","","","","",""
"9","3018","CLOTH COVER - SIZE 30 X 23 CM.  AS PER SPECIME","NOS","1000","17-Jul-2018","22-Feb-2003","","","","","",""
"10","4005","ROYALTY REGISTER:SIZE 33 X 21 CMS 200 PAGES I","NOS","10","17-Jul-2018","22-Feb-2003","","","","","",""
"11","4012","CONTRACT REVIEW CHECK LIST SIZE:17 X 21 CM  I","PAD","10","17-Jul-2018","8-Jun-2005","","","","","",""
"12","4023","DAILY WORK LOG BOOK :SIZE 30 X 21 CM. 100 SHEE","BOO","10","17-Jul-2018","18-Feb-2010","","","","","",""
"13","4031","TAX INVOICE PAPER SIZE: A4, 80GSM 210 MM X 297","BUN","60","17-Jul-2018","31-May-2012","","","","","",""
"14","5057","BILLS REGISTER:","NOS","5","17-Jul-2018","","","","","","",""
"15","6035","ROSE COLOUR FOLDER:","NOS","250","17-Jul-2018","2-May-2005","","","","","",""
"16","7029","QF/QC/13(00)CHEMICAL ANALYSIS REPORT OF TIO2","NOS","10","17-Jul-2018","22-Feb-2003","","","","","",""
"17","7050","QF/QC/53(03)","NOS","4","17-Jul-2018","22-Feb-2003","","","","","",""
"18","9001","MINING MATE DIARY: CONTAINS 100 SHEETS IN A B","NOS","60","17-Jul-2018","22-Feb-2003","","","","","",""
"19","9028","SHIFT PERFORMANCE REPORT:","PAD","35","17-Jul-2018","22-Feb-2003","","","","","",""
"20","9029","PRINTING OF GATE PASS (A 4 SIZE) FOR G.O.3D(6): 5","PAD","60","17-Jul-2018","22-Feb-2003","","","","","",""
"21","9036","GATE PASS A 4 SIZE: 50 SETS  IN TRIPLICATE. ORI","PAD","75","17-Jul-2018","30-Jun-2005","","","","","",""
"22","9039","TRANSPORT CHECK LIST:","PAD","5","17-Jul-2018","22-Sep-2005","","","","","",""
"23","9044","FORM 'A' IN TWO PAGES: 100 SHEETS (A4 SIZE) IT S","NOS","2","17-Jul-2018","","","","","","",""
"24","9046","AUTHORISATION FORMAT:50 SHEETS(A4 SIZE) IT S","PAD","5","17-Jul-2018","","","","","","",""
"25","10003","RUNNING ACCOUNT BILL: SIZE 44 X 33 CMS.  IT SH","NOS","100","17-Jul-2018","22-Feb-2003","","","","","",""
"26","10015","DAILY WORK  ALLOCATION REGISTER :SIZE 34 X 22","NOS","2","17-Jul-2018","4-Sep-2014","","","","","",""
"27","11002","STOCK REGISTER FOR MEDICINE:","NOS","4","17-Jul-2018","22-Feb-2003","","","","","",""
"28","11008","MEDICAL REFERENCE BOOK:SIZE 24X 15 CM, 100 P","NOS","20","17-Jul-2018","22-Feb-2003","","","","","",""
"29","11016","PRESCRIPTION PAD FOR SR. MEDICAL OFFICER","PAD","20","17-Jul-2018","22-Feb-2003","","","","","",""
"30","11022","TABLET COVER  12X19 CMS","NOS","6000","17-Jul-2018","26-Feb-2005","","","","","",""
"31","11024","TABLET COVER 12 CM X 8 CM","NOS","1000","17-Jul-2018","8-Sep-2007","","","","","",""
"32","11028","HEIGHT CHECK FORM: CONTAINS ONE SHEET.SIZE","NOS","100","17-Jul-2018","","","","","","",""
"33","11029","APPRENTICE  MEDICAL EXAMINATION FORM:","NOS","100","17-Jul-2018","","","","","","",""
"34","11031","MEDICAL CHECK UP REPORT(AS PER SPECIMEN)","NOS","100","17-Jul-2018","","","","","","",""
"35","12001","LEAVE REGISTER :SIZE 33 X 22 CM. 200 FOLIO","NOS","6","17-Jul-2018","13-Jan-2018","","","","","",""
"36","12007","SURRENDER LEAVE APPLICATION FORM: SIZE 22 X","PAD","10","17-Jul-2018","22-Feb-2003","","","","","",""
"37","12012","LEAVE BOOK SIZE 11 X 9 CM.18 PAGES IN A BOOK.I","NOS","200","17-Jul-2018","18-Nov-2010","","","","","",""
"38","21002","DAILY PRODUCTION REPORT (MSP)","BOO","4","17-Jul-2018","25-Sep-2004","","","","","",""
"39","21007","WORK / BREAK DOWN INTIMATION SLIP OF SIZE 21 X","PAD","15","17-Jul-2018","25-Sep-2004","","","","","",""
"40","21015","HUP/BWP DAILY MONITORING OPERATION LOG","NOS","4","17-Jul-2018","19-Jul-2007","","","","","",""
"41","22021","DAILY WORK  ALLOCATION REGISTER :SIZE 33 X 21","NOS","5","17-Jul-2018","22-Feb-2003","","","","","",""
"42","22027","LOG BOOK FOR MINES AND OIL FIELDS:  SIZE 33 X 2","NOS","10","17-Jul-2018","20-May-2005","","","","","",""
"43","22028","HUP ELECTRICAL LOG BOOK:","NOS","4","17-Jul-2018","20-May-2005","","","","","",""
"44","25001","LEAVE APPLICATION FORM: SIZE 21 X 15 CM, 100 S","PAD","75","17-Jul-2018","3-Jul-2018","1219.05","","","","",""
"45","25002","COMPENSATORY OFF FORM: SIZE 21 X 15 CM, 100 S","PAD","20","31-Aug-2017","3-Jul-2018","499.95","","","","",""
"46","25003","OVER TIME REQUISITION FORM: SIZE 15  X 21 CM, 1","PAD","55","17-May-2017","3-Jul-2018","1600.00","","","","",""
"47","25004","OVER TIME REQUISITION FORM FOR STAFF: SIZE 1","PAD","5","31-Aug-2017","31-Mar-2018","111.11","","","","",""
"48","25005","ON DUTY ADVICE FORM : SIZE 17 X  21CM. 100 SHE","PAD","5","31-Aug-2017","3-Jul-2018","222.22","","","","",""
"49","25007","PERSONAL EXIT PASS: SIZE 11 X 14 CM, 100 SHEET","PAD","10","17-May-2017","3-Jul-2018","210.00","","","","",""
"50","25008","STATIONERY ISSUE VOUCHER: SIZE 14 X  21 CM, 1","PAD","10","17-May-2017","31-Mar-2018","383.33","","","","",""
"51","25009","PURCHASE INDENT FORM: SIZE 22  X  28 CM, 100 S","PAD","100","17-May-2017","3-Jul-2018","13160.00","","","","",""
"52","25010","STORES ISSUE VOUCHER: SIZE 19 X 25 CM, 100 SE","PAD","25","31-Aug-2017","3-Jul-2018","4126.99","","","","",""
"53","25011","STORES  RECEIPT VOUCHER:  SIZE 28 X 22 CM, 100","NOS","20","17-May-2017","31-Mar-2018","2285.71","","","","",""
"54","25013","RETURNABLE GATE PASS:","PAD","30","31-Aug-2017","3-Jul-2018","1600.00","","","","",""
"55","25014","ATTENDANCE REGISTER,","NOS","10","17-May-2017","31-Mar-2018","2000.00","","","","",""
"56","25016","DUPLICATE BOOK: SIZE 28 X 22 CMS, 100 SETS IN A","PAD","5","31-Aug-2017","3-Jul-2018","714.29","","","","",""
"57","25018","LETTER HEAD:SIZE 29 X 21CM.IT SHOULD BE","PAD","10","31-Aug-2017","31-Mar-2018","730.16","","","","",""
